# filename nbad nbailout ngaia ntot
003/tractor-0036m722.fits 850 14935 1425 17219
003/tractor-0036m725.fits 543 543 1052 9723
004/tractor-0043m717.fits 997 3452 1401 7753
004/tractor-0044m722.fits 1884 4428 3260 5092
004/tractor-0045m725.fits 1450 1450 1490 1914
004/tractor-0045m727.fits 1332 1531 1583 3754
005/tractor-0050m712.fits 433 1567 824 12067
005/tractor-0050m715.fits 862 2249 1155 8116
005/tractor-0052m750.fits 1485 11204 1916 13613
005/tractor-0054m727.fits 2079 2080 2080 2092
005/tractor-0054m730.fits 2630 21463 4236 21485
005/tractor-0057m712.fits 748 1683 986 8152
006/tractor-0060m720.fits 62312 76103 76103 76103
006/tractor-0061m722.fits 35947 53027 53035 53037
006/tractor-0062m727.fits 3764 9367 7238 9367
006/tractor-0065m712.fits 761 867 1084 11271
006/tractor-0066m715.fits 2700 4455 4320 5196
007/tractor-0073m712.fits 1225 1225 1251 2313
007/tractor-0074m715.fits 1560 1560 1562 1656
013/tractor-0137m380.fits 223 8021 302 9727
027/tractor-0277m445.fits 556 641 579 4348
037/tractor-0372m045.fits 183 182 186 1029
037/tractor-0372m047.fits 188 188 198 2002
053/tractor-0532m280.fits 156 573 247 9188
053/tractor-0535m280.fits 146 2231 236 9031
053/tractor-0537m282.fits 90 90 221 13619
053/tractor-0538m280.fits 53 53 235 11638
063/tractor-0636m237.fits 151 10900 383 22762
063/tractor-0637m240.fits 129 9926 393 23753
063/tractor-0637m250.fits 95 95 290 12529
063/tractor-0638m242.fits 221 8790 396 17751
063/tractor-0638m247.fits 365 1729 302 6045
063/tractor-0639m232.fits 158 2993 340 13607
064/tractor-0640m245.fits 213 1725 282 10280
064/tractor-0641m235.fits 207 1103 284 13811
095/tractor-0956m547.fits 314 4839 833 11676
099/tractor-0990m510.fits 871 861 899 1207
099/tractor-0991m505.fits 959 947 959 970
099/tractor-0994m515.fits 0 940 955 957
099/tractor-0995m502.fits 910 886 920 993
099/tractor-0995m505.fits 805 775 949 2529
099/tractor-0996m517.fits 0 872 902 903
099/tractor-0998m510.fits 0 1087 1091 1094
099/tractor-0998m515.fits 917 899 981 1783
099/tractor-0999m505.fits 0 940 958 958
100/tractor-1000m500.fits 942 918 955 1040
100/tractor-1000m517.fits 0 961 975 975
100/tractor-1001m512.fits 0 1047 1060 1060
100/tractor-1002m507.fits 1173 1168 1173 1183
100/tractor-1002m510.fits 2146 2146 2157 2548
100/tractor-1002m515.fits 978 964 986 1078
100/tractor-1003m505.fits 0 944 972 973
100/tractor-1004m500.fits 1021 991 1032 1221
100/tractor-1006m507.fits 1234 1245 1233 1252
100/tractor-1006m510.fits 1550 1549 1550 1558
100/tractor-1007m505.fits 0 985 1007 1007
100/tractor-1008m500.fits 952 913 1010 1399
100/tractor-1009m512.fits 77 195 965 14514
101/tractor-1010m510.fits 989 974 997 1081
101/tractor-1010m515.fits 925 902 932 978
101/tractor-1011m502.fits 0 989 1013 1013
101/tractor-1011m505.fits 0 941 958 960
101/tractor-1014m510.fits 1005 992 1006 1013
101/tractor-1014m515.fits 0 958 979 979
101/tractor-1017m512.fits 980 992 998 1114
101/tractor-1018m507.fits 1025 1156 1075 1391
101/tractor-1018m510.fits 1003 976 1019 1179
184/tractor-1842m317.fits 794 776 855 1389
184/tractor-1842m322.fits 260 528 805 6732
184/tractor-1845m315.fits 0 718 726 726
184/tractor-1845m317.fits 0 753 757 758
184/tractor-1845m320.fits 0 802 807 808
184/tractor-1845m322.fits 0 812 823 824
184/tractor-1845m325.fits 287 299 804 7004
184/tractor-1848m312.fits 0 743 750 750
